Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_25_269.jpg,0,0,0,0,99.66999,85.58897,0.000232773,45.83778,-1.39E-06
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_25_317.jpg,0,0,0,0,99.66999,85.58897,0.000232535,45.83778,-1.37E-06
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_25_359.jpg,0,0,0,0,99.66999,85.58897,0.000232297,45.83778,-1.35E-06
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_25_403.jpg,0,0.149229,0,0,99.67033,85.58932,0.01174341,45.78705,1.83E-05
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_25_445.jpg,0,0.2620681,0,0.01676586,99.67065,85.58967,0.02160131,45.81923,9.73E-05
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_25_494.jpg,0,0.407766,0,0,99.67102,85.59005,0.03201479,45.79069,4.78E-05
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_25_544.jpg,0,0.5538211,0,0.03537158,99.67368,85.59278,0.1113381,45.65637,0.000260862
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_25_596.jpg,0,0.710481,0,0.07148443,99.67649,85.59564,0.1925583,45.6014,0.000417798
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_25_643.jpg,0,0.8645521,0,0.09832211,99.6822,85.60149,0.3498658,45.65855,7.80E-05
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_25_695.jpg,0,1,0,0.1128686,99.6869,85.60635,0.4668268,45.65228,0.001385467
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_25_745.jpg,0,1,0,0.1864441,99.6974,85.6172,0.7122419,45.71726,0.000656629
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_25_794.jpg,0,1,0,0.2216877,99.70538,85.62539,0.8769376,45.63674,0.001677568
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_25_846.jpg,0,1,0,0.26206,99.71966,85.63999,1.147097,45.50406,0.001277795
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_25_896.jpg,0,1,0,0.2855955,99.72952,85.65023,1.291171,45.53384,0.000685808
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_25_944.jpg,0,1,0,0.3481418,99.7443,85.66549,1.303076,45.5366,0.003507195
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_25_991.jpg,0,1,0,0.4102347,99.754,85.67547,1.188452,45.55672,0.001827522
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_26_033.jpg,0,1,0,0.4230603,99.76521,85.68698,1.106634,45.58141,-0.000133881
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_26_082.jpg,0,1,0,0.4700247,99.78388,85.70628,1.03076,45.74726,-0.00055112
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_26_129.jpg,0,1,0,0.5119906,99.79816,85.72101,1.02576,45.71063,0.001382561
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_26_178.jpg,0,1,0,0.5607187,99.8138,85.7371,1.050453,45.71468,0.000319205
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_26_218.jpg,0,1,0,0.5896354,99.8302,85.75401,1.085369,45.71246,0.000130464
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_26_268.jpg,0,1,0,0.6218871,99.85713,85.78188,1.180531,45.84756,-0.000429646
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_26_318.jpg,0,1,0,0.6565168,99.87566,85.8011,1.228175,45.91489,0.000573921
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_26_369.jpg,0,1,0,0.6782716,99.90453,85.83105,1.242682,45.89965,0.001108406
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_26_418.jpg,0,1,0,0.7471366,99.92476,85.85208,1.234691,45.90281,0.001006432
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_26_460.jpg,0,1,0,0.7785513,99.94617,85.87435,1.228749,45.91179,0.000761688
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_26_505.jpg,0,1,0,0.804514,99.97968,85.90921,1.201854,45.90497,0.000872055
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_26_546.jpg,0,1,0,0.8525084,100.0034,85.93386,1.197228,45.87449,0.001410395
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_26_595.jpg,0,1,0,0.8870453,100.0284,85.95979,1.210942,45.86765,0.000856446
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_26_646.jpg,0,1,0,0.9295723,100.0672,86.00014,1.217117,45.87654,0.000873634
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_26_698.jpg,0,1,0,0.9845334,100.0944,86.02837,1.223548,45.87875,0.000659077
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_26_748.jpg,0,1,0,1.01669,100.1367,86.07233,1.223607,45.87297,0.00105836
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_26_798.jpg,0,1,0,1.064661,100.1659,86.10273,1.218346,45.87856,0.001035781
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_26_849.jpg,0,1,0,1.097774,100.2115,86.15012,1.218946,45.87733,0.000806785
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_26_888.jpg,0,1,0,1.125279,100.243,86.18277,1.219866,45.84909,0.001229473
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_26_938.jpg,0,1,0,1.170674,100.2753,86.21639,1.224383,45.85627,0.000762434
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_26_987.jpg,0,1,0,1.20409,100.3254,86.26842,1.227166,45.89305,0.000575816
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_27_029.jpg,0,1,0,1.233269,100.3599,86.30428,1.230361,45.91909,0.000662494
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_27_075.jpg,0,1,0,1.28028,100.3952,86.341,1.231225,45.93261,0.000878522
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_27_126.jpg,0,1,0,1.312707,100.4499,86.39788,1.23576,45.95899,0.00089974
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_27_166.jpg,0,1,0,1.345706,100.4874,86.437,1.239992,45.97735,0.000858137
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_27_216.jpg,0,1,0,1.375296,100.5258,86.47699,1.242223,45.99143,0.000829983
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_27_263.jpg,0,1,0,1.422694,100.585,86.53869,1.244448,46.00806,0.000875084
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_27_317.jpg,0,1,0,1.471022,100.6255,86.581,1.247833,46.01861,0.000918585
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_27_367.jpg,0,1,0,1.50125,100.6879,86.64614,1.250754,46.03035,0.00094175
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_27_418.jpg,0,1,0,1.548913,100.7305,86.69071,1.253832,46.03857,0.000956616
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_27_471.jpg,0,1,0,1.579858,100.7961,86.75927,1.258297,46.04867,0.001010044
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_27_518.jpg,0,1,0,1.626288,100.8409,86.80608,1.259277,46.05667,0.000983385
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_27_559.jpg,0,1,0,1.656181,100.8866,86.85381,1.263511,46.06342,0.001025204
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_27_600.jpg,0,1,0,1.68694,100.9331,86.90244,1.267308,46.07062,0.001040391
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_27_647.jpg,0,1,0,1.718491,101.0044,86.97705,1.270161,46.08291,0.001033427
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_27_688.jpg,0,1,0,1.748219,101.0529,87.0279,1.272706,46.08988,0.001048506
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_27_737.jpg,0,1,0,1.793882,101.1024,87.07967,1.277261,46.09618,0.001083735
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_27_790.jpg,0,1,0,1.825177,101.178,87.15893,1.279661,46.10836,0.001078558
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_27_839.jpg,0,1,0,1.869744,101.2296,87.21291,1.283851,46.11451,0.001117043
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_27_891.jpg,0,1,0,1.900041,101.3083,87.2955,1.287377,46.12629,0.001108478
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_27_940.jpg,0,1,0,1.945217,101.3619,87.35165,1.28948,46.13286,0.001138449
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_27_993.jpg,0,1,0,1.975891,101.4438,87.43758,1.29647,46.14558,0.001150167
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_28_045.jpg,0,1,0,2.020831,101.5275,87.5254,1.297061,46.155,0.001154011
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_28_095.jpg,-2.132595,1,0,2.050736,101.5846,87.58479,1.298583,46.09448,0.0015801
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_28_144.jpg,-4.566646,1,0,2.094375,101.6729,87.67435,1.301231,45.75117,0.003301114
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_28_198.jpg,-6.737894,1,0,2.137733,101.7337,87.73387,1.291932,45.33632,-0.004973908
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_28_247.jpg,-9.203938,1,0,2.165606,101.8283,87.82256,1.2756,44.43011,359.9565
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_28_301.jpg,-11.35089,1,0,2.206201,101.8936,87.88095,1.247875,43.63781,359.9221
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_28_348.jpg,-13.73976,1,0,2.23288,101.9951,87.96632,1.167256,42.12266,359.8457
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_28_389.jpg,-15,1,0,2.259012,102.0652,88.02155,1.088762,40.93685,359.7752
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_28_439.jpg,-13.2081,1,0,2.299781,102.1371,88.07581,0.9953086,39.71151,359.6981
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_28_489.jpg,-10.96161,1,0,2.328965,102.2479,88.15658,0.8443925,38.04552,359.5912
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_28_537.jpg,-8.746261,1,0,2.373285,102.3238,88.21029,0.7540303,37.09691,359.5189
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_28_590.jpg,-6.557865,1,0,2.402378,102.4404,88.29147,0.6405959,35.96239,359.4294
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_28_641.jpg,-4.152436,1,0,2.445677,102.5197,88.34628,0.5806301,35.40242,359.3898
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_28_694.jpg,-1.940729,1,0,2.474245,102.6408,88.43003,0.5173092,34.86383,359.3697
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_28_740.jpg,0,1,0,2.516928,102.7231,88.48711,0.5049008,34.69611,359.3753
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_28_789.jpg,0,1,0,2.544507,102.8488,88.57468,0.5348228,34.63435,359.4068
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_28_840.jpg,0,1,0,2.585836,102.9342,88.63412,0.5836288,34.63109,359.4381
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_28_888.jpg,0,1,0,2.612794,103.0642,88.72483,0.6847585,34.64647,359.5084
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_28_938.jpg,0,1,0,2.655146,103.1522,88.78627,0.76429,34.65836,359.5715
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_28_986.jpg,0,1,0,2.682776,103.2861,88.87981,0.9020004,34.68048,359.6819
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_29_035.jpg,0,1,0,2.723547,103.3767,88.9431,1.004608,34.69606,359.7636
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_29_086.jpg,0,1,0,2.751674,103.5145,89.03939,1.172636,34.72137,359.8933
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_29_134.jpg,0,1,0,2.793256,103.6075,89.10449,1.292136,34.73828,359.9823
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_29_183.jpg,0,1,0,2.819998,103.7488,89.20132,1.40956,34.72503,0.005233936
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_29_223.jpg,0,1,0,2.848658,103.8429,89.26591,1.396655,34.73164,0.00332318
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_29_283.jpg,0,1,0,2.881172,103.9375,89.3314,1.361976,34.74459,0.001817023
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_29_318.jpg,0,1,0,2.923886,104.033,89.3979,1.340766,34.75239,0.001265426
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_29_367.jpg,0,1,0,2.950955,104.1781,89.49929,1.336416,34.76678,0.001006339
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_29_418.jpg,0,1,0,2.991522,104.2762,89.5679,1.349371,34.77811,0.000961136
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_29_466.jpg,0,1,0,3.01808,104.425,89.67214,1.377259,34.79759,0.001497952
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_29_506.jpg,0,1,0,3.045205,104.5251,89.74227,1.379043,34.80708,0.001517008
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_29_552.jpg,0,1,0,3.073809,104.626,89.81304,1.375808,34.81917,0.001523892
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_29_602.jpg,0,1,0,3.115357,104.779,89.92046,1.375173,34.83401,0.001414416
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_29_651.jpg,0,1,0,3.141924,104.8822,89.9929,1.378322,34.84332,0.001081564
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_29_698.jpg,0,1,0,3.18249,104.9863,90.066,1.381706,34.85504,0.001534838
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_29_748.jpg,0,1,0,3.20967,105.1439,90.1768,1.381842,34.86935,0.001555654
